Project ID,Insect Type,Insect Order,Project Title,Project Description,Type,16s rRNA,full_results
PRJNA1128369,silkworm,Lepidoptera,Effects of individual and combined exposure of Fenpropathrin and microplastics nanoplastics on silkworm gut microbial community,"Enhanced bioaccumulation and toxicity of Fenpropathrin by polystyrene micro(nano)plastics: Insights from organism, tissues, and cellular levels in the model insect, silkworm (Bombyx mori)",paired,1,1
PRJNA1128353,silkworm,Lepidoptera,Study on gut microbiota diversity of silkworm,The present study used Illumina-based 16S rRNA gene sequencing to investigate the dynamic gut bacteriome of silkworms fed by mulberry leaf and artificial diet.,paired,1,1
PRJNA1126440,Trypoxylus dichotomus,Coleoptera,The gut microbes of Trypoxylus dichotomus Raw sequence reads,Microorganisms were isolated from the gut of Trypoxylus dichotomus and their species relationships were identified,single,0,0
PRJNA1123852,,,insect gut metagenome Genome sequencing,"The insect gut microbiome plays an important role in digestion, nutrition, detoxification, insecticide resistance, and protection against pathogens. However, the microbiome associated with the intestine of Tecia solanivora, an important insect pest of potato crops in Central and South America-producing areas, is unknown. In this study, it was possible to infer some functions that bacteria fulfill in the intestine of T. solanivora. These findings will contribute to developing integrated pest management strategies based on insecticidal bacteria.",paired,0,0
PRJNA1115052,honeybee,Hymenoptera,The role of propolis in modulating microbiota dynamics amidst Nosema spp. infections,"Honey bees are vulnerable to numerous pathogens, parasites, and pests, with Nosema spp. posing a significant threat. The gut microbiota is crucial for their health, affecting development, metabolism, immune function, and pathogen defense. Our study examines the role of propolis in supporting honey bee microbiota, especially regarding Nosema spp. infection. In cage tests, we investigated the effects of propolis on microbiota dynamics. The results show that propolis stabilizes the microbiota and that treatments with both propolis and alcohol alter gut microbial diversity and community structure.",paired,0,0
PRJNA1111031,Gryllus bimaculatus,Orthoptera,Primary sequences of gut microorganisms of wild and farmed Gryllus bimaculatus,Primary sequences of gut microorganisms of wild and farmed Gryllus bimaculatus,paired,0,0
PRJNA1108493,"yellow mealworm (Tenebrio molitor, Coleoptera: Tenebrionidae) larvae",Coleoptera,"Gut microbiome of yellow mealworm (Tenebrio molitor, Coleoptera: Tenebrionidae) larvae",We studied the effect of brown seaweed inclusion in the diet on the nutritional profile and gut microbial community of yellow mealworm larvae (YML).,paired,0,0
PRJNA1105088,American cockroach,Blattodea,Influence of xylan and microcrystalline cellulose on the American cockroach gut microbiome,"The gut microbiota of the American cockroach, Periplaneta americana, is diverse and normally resistant to diet-related shifts when fed whole foods. However, chemically defined artificial diets may perturb the gut community. This experiment examines a variety of synthetic diets previously produced in the Ottesen lab that feature xylan and microcrystalline cellulose as the primary carbohydrate source. The standard artificial diet contains lab-grade ingredients that make up, as percent of dry mass, 70.5% variable carbohydrate, 17% casein, 8% peptone, 0.5% Vanderzant vitamin mixture, 3% Wesson salt mixture, and 1% cholesterol. Variations of this standard artificial diet are used to understand what conditions are associated with the alterations seen following ingestion of xylan: diets without casein/peptone, diets without vitamins/cholesterol, diets with tuna in lieu of casein/peptone, diets with mixtures of xylan/microcrystalline cellulose in set ratios, and diets with simple sugar forms of the complex carbohydrates (xylose, glucose, and cellobiose).",paired,1,1
PRJNA1096047,American cockroach,Blattodea,American cockroach gut microbiome response to synthetic diets,"This study aims to characterize how the American cockroach gut microbiome composition changes in response to synthetic diets. Synthetic diets allow greater control over the exact nutrient profile that gut bacteria are exposed to, so that more specific associations can be made between microbial taxa and nutrient source. The synthetic diets used in this study feature different carbohydrate sources: microcrystalline cellulose, methylcellulose, starch, xylan, pectin, chitin, and mucin. These carbohydrates comprise 70.5% of the diet by dry mass, and the remaining components casein, peptone, Vanderzant vitamin mixture, Wesson salt mixture, and cholesterol make up 17%, 8%, 0.5%, 3%, and 1% respectively.",paired,1,1
PRJNA1095199,yellow mealworm,Coleoptera,Yellow mealworm gut microbial community dynamics,"In this study, we analyzed the structural composition of the community in the intestines of cellulose-fed yellow mealworms.",paired,1,0
PRJNA1094869,Aedes albopictus,Diptera,Relationship between deltamethrin resistance and midgut symbiotic bacteria of Aedes albopictus by 16S rDNA sequencing,"The diversity of bacteria colonizing the intestines of resistant larvae was richer than that of sensitive larvae, while the inverse is correct for adults. This suggests that the intestinal commensal bacteria of Ae. albopictus adults and larvae may play different roles in their deltamethrin resistance. This study provides an empirical basis for further investigation of the mechanisms of gut microbes in insecticide resistance and new prospects for mosquito control.",paired,0,0
PRJNA1089229,,,Gut microbiota Raw sequence reads (16S),Determination of wood borers gut microbiota,paired,0,0
PRJNA1088537,Honeybee,Hymenoptera,Bacterial colonization experiments with honey bees,"16S rRNA amplicon sequences for samples used in the project titled: ""Glyphosate Effects on Growth and Biofilm Formation in Bee Gut Symbionts and Diverse Associated Bacteria""",single,0,0
PRJNA1080684, housefly larvae ,Diptera,Gut microbiota of housefly larvae fed with Enterococcus faecalis and their specific bacteriophage Raw sequence reads,Gut microbiota of housefly larvae fed with Enterococcus faecalis and their specific bacteriophage Raw sequence reads,paired,1,0
PRJNA1080679, housefly larvae ,Diptera,Gut microbiota of housefly larvae fed with Bacillus velezensis and their specific bacteriophage Raw sequence reads,Gut microbiota of housefly larvae fed with Bacillus velezensis and their specific bacteriophage,paired,1,0
PRJNA1080678, housefly larvae ,Diptera,Gut microbiota of housefly larvae fed with Staphylococcus Saprophyticus and their specific bacteriophage Raw sequence reads,Gut microbiota of housefly larvae fed with Staphylococcus Saprophyticus and their specific bacteriophage,paired,1,0
PRJNA1078087,Drosophila melanogaster,Diptera,Drosophila melanogaster gut microbiomes,Impact of ampicillin antibiotic on gut microbiota of Drosophila melanogaster,paired,1,1
