,Blattodea,Coleoptera,Diptera,Hemiptera,Hymenoptera,Lepidoptera,Odonata,Orthoptera
KD496,0.0017092058637526782,0.01905933335663711,0.29946135064378965,0.0226263239511004,0.01976283884101318,0.025857249784737867,0.2295621935901693,0.002370306092170524
Anaerolineaceae,0.0019577766116336335,0.001968683608512093,0.0461072565170885,0.0001343260469651158,0.02426854578188274,0.005650982702116603,0.42986166827197747,0.10323537008114221
CandidatusJorgensenbacteria,9.498006605863594e-05,0.007629316539078491,0.030985143433834506,0.5020320598435782,0.013160093660151001,0.0060333582831055025,0.0012842486354858248,0.004090756735521009
Mitochondria,0.038696857663664506,0.016006053155913916,0.029209013807449006,0.00859379264201645,0.08967218185642332,0.12931470041826823,0.01958616668969789,0.20466633383471752
Peptococcaceae,0.01819465847938497,0.0013824479840291452,0.0881460902248752,0.002759075923825023,0.04495364586643396,0.009516008811834321,0.009792052095944649,0.1748069499925337
Micrarchaeales,0.04120900126086038,0.02867820980389872,0.013263197753943754,0.058170320319378147,0.06752099567531418,0.009692111057126224,0.011206925592641559,0.07655732987598271
Christensenellaceae,0.009451505948522388,0.00337370712590642,0.0013838752187420574,0.1785803780105234,0.026867961131546457,0.0012904785041142112,0.0150417965180912,0.00031595536121132033
Solibacteraceae,0.0025321289860957097,0.0008503450900885155,0.0018122994873526197,0.01307697175738105,0.04911170306079509,0.032105244892331415,0.10795938529315313,0.000964208602317305
CandidatusMagasanikbacteria,0.022276822568530096,0.12503714039360078,0.0006077614264475449,0.018765159569411233,0.015011828707290141,0.0016786381801548638,0.0004908744784458667,0.003430326715788219
CandidatusKerfeldbacteria,7.0443548993488326e-06,0.0006440095700841655,4.067153996302957e-06,1.891916154438251e-07,5.972391364431209e-06,0.16102647052018712,0.0,0.0
Nitrosopumilaceae,0.032514090688550074,0.008964671475012526,0.002745659186504196,0.0006607517169375591,0.06402470990441585,0.007760614127073754,0.00850642846191976,0.013095804971586448
Omnitrophaceae,0.021745211223794407,0.0018800807087455188,0.00019569267882211535,0.001685082420854289,0.048155837596993434,0.053034211202635295,0.0008483740986025202,1.762428485458683e-05
Lachnospiraceae,0.029696388303838066,4.1267104000870005e-05,0.021668093154303705,0.0029370579360538016,0.01745215434600041,0.008057088080199448,0.04436570286144071,0.002572825147226867
Subgroup2,0.006010180280080385,0.05375185944715675,0.0009135279781696031,0.00010173779120491694,0.004484885161140015,0.008747740294757484,0.0008208741278212391,0.03612241379641836
Spirochaetaceae,0.008615127316821049,8.61754230606403e-05,0.01255646891358617,0.007216856064816291,0.047361672725616005,0.02778835589755711,0.0005114994565318274,0.0005518003367199732
CandidatusNomurabacteria,0.014864815663479294,0.0005670585585060726,0.0833928560161959,7.99334575250161e-06,0.0046964971043475115,7.308282261337296e-05,0.0,0.0
A4b,0.00623821158867616,0.003338751461340977,0.005567342866939285,0.004126363728637547,0.02149860723615808,0.023420895152803285,0.007248304798676152,0.021053329804203807
Roseiflexaceae,6.146001774544235e-05,0.06209388314709732,2.6540786975874424e-05,4.256811347486064e-07,4.3884566054855185e-05,0.02133221153154708,0.0,0.0
koll11,2.7702519267102153e-07,0.07953578877457092,0.0,0.0,0.0,0.0,0.0,0.0
UBA12409,0.0002982769824516413,0.07806231041406926,1.5920995985527813e-05,2.837874231657376e-07,2.3280359781207262e-05,2.3214543653659642e-05,0.0,0.0
Clostridiummethylpentosumgroup,0.0026000001583001103,0.0026258015528082992,0.0020021347691800595,0.0004836683648821388,0.01172186784462096,0.035006593868359,0.010838425984172392,0.010630648182743967
Ruminococcaceae,0.018250617568304518,0.00011020744244938225,0.032368653651576894,0.0006224404148101845,0.006959804979338246,0.00609151188740962,0.004923182269118839,0.0024347148422754683
Latescibacterota,0.0013814850608228598,0.0009569113174789975,0.0020114857471715594,7.633881683158342e-05,0.0043063117472108,0.06128428483260204,2.1999976625024836e-05,0.0005915350880284962
RBG13549,0.02665643256454885,0.002460490389134226,0.02517877705511249,0.0032538592961144867,0.00407934999668962,0.004229580424871484,9.831239554307974e-05,0.00015028708357820407
Pelotomaculaceae,0.007906219848775905,0.0001869157063568818,0.012623038143525658,0.0037233855877421996,0.023134106904151866,0.0164889698870632,0.0008263741219774954,0.0002525079357348077
Geobacteraceae,0.005275865644364556,0.00828594898803351,0.0006498929704092473,0.0034714296538748855,0.021844995056622296,0.023035705687735154,0.0015970608031228967,0.00016342518683344154
Zixibacteria,0.008877193149087834,0.002254397616800469,0.02138791143455839,0.00046962088743543484,0.004449213993045351,0.025412812427112585,0.0001711873181134745,2.307179108236822e-05
Ilumatobacteraceae,0.059184097487539805,0.0001352104525204976,0.0006019214104528534,0.00014425860677591662,0.0001838822062531525,0.0006370320901593472,0.0011453737830403555,3.813254359446969e-05
WWH38,0.0029538404793960533,0.0002230851092752914,0.027213953105262517,0.0006666166570163176,0.0003676882617967403,0.0011837072359967059,0.0008449366022548601,0.027369232613002108
Oscillospiraceae,0.004911340065837016,0.0012482085221910211,0.006738839646874395,5.879129449916864e-05,0.03333326516031715,0.007397232263619668,0.00040081207413717124,0.004264115610181581
Erysipelatoclostridiaceae,0.005193589162141262,0.0010719737133402468,0.006299135109274086,9.109576283620178e-05,0.009680767740140012,0.0010543467317987035,0.0005486244170865569,0.023611735082004197
Pyrinomonadaceae,0.000528010017230967,0.008567293538251208,0.0002771748067480481,0.001446984772818235,0.010330855469021032,0.00032297136153845675,0.00019799978962522352,0.023735425517529114
Erysipelotrichaceae,0.004765703964547108,0.00038596879624343126,0.0022522821209526754,0.014920218368746378,0.021572625725854964,0.0004529571733096217,0.0009466864941456,3.524856970917366e-05
Spirosomaceae,1.978751376221582e-05,0.04220119703731323,0.0,0.0,0.0,0.0,0.0,0.0
Butyricicoccaceae,0.002419933783063946,0.0011363018460474853,0.003134489537150749,4.767628709184392e-05,0.011137552571458249,0.002099157523106678,0.0004716244988989699,0.020035927905779932
BRHc20a,0.002256251469222897,0.0002565842878171741,0.006638429609965668,4.8858734688367827e-05,0.01739464968160627,0.0011195350463008992,0.00028531219685579086,0.01199637003820304
