,Blattodea,Coleoptera,Diptera,Hemiptera,Hymenoptera,Lepidoptera,Odonata,Orthoptera
Bacteroidales,0.11624030504432822,0.0035102444367782573,0.6092954900579411,0.007974865762812058,0.04821678343942285,0.34734457205997143,0.5073780341264119,0.9261517060796989
SBR1031,0.019462866991701,0.05400512844222678,0.09499146351839964,0.9307604310915768,0.334153628212969,0.04459841657627703,0.008603701033405431,0.014933311512969479
Bacillales,0.029049097498494846,0.019884272184424758,0.13370408971961154,0.0005473483708175743,0.0038487960838499845,0.07464494612101737,0.38298485940879595,0.008387202356599297
Ignavibacteriales,2.361024212303297e-06,0.0,0.0,0.0,0.4681373150988533,9.376869038085294e-05,0.0,0.0
Oscillospirales,0.023281587552680352,0.1332399164938811,0.047230525428022155,0.02559400981942977,0.08307921475261328,0.034447322270317396,0.04503725066089882,0.0013092218312740365
Microtrichales,0.01814588768607822,0.0038196580801416902,0.002376261767614053,7.66287719144604e-05,0.0033559722995838994,0.3158712378480846,0.017784186493631338,0.0006955240978643319
Sphingobacteriales,0.1307653259984181,0.1410250482791978,0.0007622033218111751,0.0015435224057055595,0.0017593485670056902,0.000367471894735775,0.0,0.0
Micavibrionales,1.1332916219055827e-05,0.24883969883738713,3.2600655338373613e-06,0.0,1.111784583044901e-06,0.00017233164718643244,0.0,0.0
Omnitrophales,0.002579182849520122,0.060015577376527955,0.0017855378928827226,0.011056437090515,0.042734472589102714,0.0414660354597707,0.03446286950252343,0.04852303412159398
Lactobacillales,0.1500171174255392,0.00509999039750762,0.007127807283182006,0.000530927919693047,0.00026066294906116363,0.013384846979634454,0.0025955299206921415,0.0
Acidobacteriales,0.16263631963545785,0.0008144336129911053,0.002489386041638209,0.00040503779440500496,0.00044491597586942313,0.0014952304682352225,0.0011535688536409518,0.0
Burkholderiales,0.06596937751596643,0.002695810823787152,0.07660991001241108,0.0027312683703796955,0.0007020414285299893,6.08229343010938e-05,0.0,0.0
Enterobacterales,0.1464916360717279,0.0,0.0,0.0,2.9512827113555555e-05,2.5342889292122415e-06,0.0,0.0
Rickettsiales,3.25821341297855e-05,0.10772929507036492,0.00046781940410566133,2.7367418540878713e-05,4.467352597325875e-05,0.00038774620616947294,0.0,0.0
Gaiellales,0.00507714646613701,0.028060616622269958,0.003799932386240828,1.0946967416351485e-05,0.00016595911685088433,0.07064963962411426,0.0,0.0
Babeliales,0.011834869966591508,0.07042183393378548,0.0002392888101836623,7.66287719144604e-05,0.0015260759472177237,0.0010529970500876863,0.0,0.0
Syntrophales,0.008476076922168837,0.012757088951087748,0.005432247199033195,0.002807897142294156,0.00017020411253160122,0.04516863158534978,0.0,0.0
Polyangiales,0.052756141614232255,0.0015399552594984654,0.0024949281530457323,2.7367418540878713e-05,0.00011896095038580441,0.0009959755491804109,0.0,0.0
Rhodospirillales,0.0006846970215679561,0.04641204650451495,0.00020799218105882364,1.0946967416351485e-05,0.006478267694076907,3.294575607975914e-05,0.0,0.0
Chlamydiales,0.004242760509509025,0.02199326402941919,0.0008443569732638766,8.210225562263614e-05,0.00027612686189806086,0.0010770727949152028,0.0,0.0
Pseudomonadales,9.396876364967123e-05,0.024884681179470583,0.00030449012086040955,0.0002079923809106782,0.0014738220718146133,1.3938589110667328e-05,0.0,0.0
Desulfobacterales,0.019310344827586208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myxococcales,7.696938932108748e-05,0.0007326346038260597,0.00014311687693546016,0.013054258643999147,0.0009540122435782565,0.00013178302431903657,0.0,0.0
Fimbriimonadales,0.010035769516816395,0.00035920434459433024,0.0019677755562242313,1.0946967416351485e-05,4.962602093409513e-05,0.0022998672032601094,0.0,0.0
Rhizobiales,0.0021178387184360575,0.0011522990856293366,0.0009372688409782414,0.00019704541349432675,0.0016120876454151065,0.003901537806522246,0.0,0.0
Micrococcales,0.005665041495000531,0.0021374436742692326,0.0,0.0,0.0,0.0,0.0,0.0
MSBL9,2.361024212303297e-06,0.004278443827197815,0.0032114905573831843,0.0,2.3751761546868342e-05,2.6610033756728537e-05,0.0,0.0
Clostridiales,0.006100414359749259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corynebacteriales,0.004646967854655349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erysipelotrichales,0.00043017861148166074,0.0008784502288594017,0.0028382130537588065,0.0004159847618213564,2.7289257947465753e-06,5.1952923048850956e-05,0.0,0.0
Others,0.0037634725944114557,0.0037129637203611957,0.0007351447778803249,0.001850037493363401,0.00037992711342416205,0.0002597646152442548,0.0,0.0
