,Blattodea,Coleoptera,Diptera,Hemiptera,Hymenoptera,Lepidoptera,Odonata,Orthoptera
Chloroflexi,0.19445378684519465,0.03146691346598797,0.12548580031254858,0.9580954111295681,0.027204234662365306,0.09281208668226676,0.4850720361048429,0.9563231515843562
Firmicutes,0.08910958107264863,0.03423238800379013,0.574209833007421,0.003516922757475083,0.7781574930962141,0.5920490385593652,0.4966151709772609,0.04367684841564373
Armatimonadota,2.961364766105065e-05,0.8380159097419625,0.0,0.0,0.0,0.0,0.0,0.0
Planctomycetota,0.6214402809066006,0.0013386659615257487,0.006660066600666007,0.00014275332225913623,0.07777670016895771,0.03375216196968155,0.0,0.0
Aenigmarchaeota,0.01845141775338177,0.008566360371080408,0.058185581855818555,0.00035039451827242527,0.020471448187150024,0.15787465662834468,0.018312792917896198,0.0
Patescibacteria,0.03206734989582342,0.019655803089398648,0.18190409176819042,0.00015573089700996677,0.0044893750606154964,0.0011954420592125343,0.0,0.0
Myxococcota,0.042734608835443305,0.04368568343579912,0.005207779350520778,0.024994808970099668,0.016801339411047077,0.009767015973140706,0.0,0.0
Verrucomicrobiota,0.000175566625419086,0.014185452061435403,0.009081909000908191,0.0005710132890365449,0.03023373335307059,0.04275612981992064,0.0,0.0
Acidobacteriota,0.0005097777918795148,0.0014157907494325819,0.0003477307500347731,0.0013626453488372093,0.0045761509287570125,0.05735578390477159,0.0,0.0
Bacteroidota,0.00036805533521591525,0.00325025891893083,0.0009695551500969555,0.009901889534883721,0.02691072804953371,0.005086987486010784,0.0,0.0
Others,0.0006599612907319858,0.004186774200656662,0.037947652203794764,0.0009084302325581396,0.013378797082289045,0.007350696917285584,0.0,0.0
