SampleID,PC1,PC2
SRR24263293,-0.291687025,-0.134072407
SRR24263294,-0.374611461,-0.07948749
SRR24263295,-0.374587565,-0.079328206
SRR24263296,-0.373966395,-0.08002655
SRR24263297,-0.374492113,-0.079421766
SRR24263298,-0.371631359,-0.078495322
SRR24263299,-0.030584482,-0.261507984
SRR24263300,-0.156381197,-0.214580414
SRR24263301,-0.291543632,-0.134151666
SRR24263302,-0.114987677,-0.234155228
SRR24263303,0.153029834,0.404797877
SRR24263304,-0.374611461,-0.07948749
SRR24263305,-0.37413249,-0.079476136
SRR24263306,-0.374469361,-0.079187456
SRR24263307,-0.329668388,-0.107211264
SRR24263308,-0.189865842,-0.097678211
SRR24263309,-0.37309669,-0.067775695
SRR24263310,-0.072681816,-0.249751278
SRR24263311,-0.374594668,-0.079492682
SRR24263312,0.106013636,0.379652138
SRR24263313,-0.370291411,-0.080971536
SRR24263314,0.174884587,0.477109329
SRR24263315,-0.374579105,-0.079459399
SRR24263316,0.610995291,-0.217870341
SRR24263317,-0.374581107,-0.07913814
SRR24263318,0.085919235,-0.036565009
SRR24263319,0.541414953,-0.185255176
SRR24263320,0.50173931,-0.212578222
SRR24263321,0.530455842,-0.142732908
SRR24263322,0.446463011,-0.111623626
SRR24263326,0.290433395,0.383408829
SRR24263328,-0.255506929,0.050720365
SRR24263329,-0.29131761,0.005581076
SRR24263330,0.594197001,-0.198594529
SRR24263331,0.613701408,-0.176558262
SRR24263332,0.140975128,-0.263952576
SRR24263333,0.057421856,-0.263097904
SRR24263334,0.537474856,-0.201342573
SRR24263335,0.150181471,-0.259237327
SRR24263336,-0.271430909,-0.141578303
SRR24263337,-0.246244285,-0.162713523
SRR24263338,0.001175571,-0.239373417
SRR24263339,0.184138679,-0.247170355
SRR24263340,0.59971457,-0.127949477
SRR24263341,0.611031927,-0.217755695
SRR24263342,0.606972131,-0.21144512
SRR24263343,0.586980206,-0.188633828
SRR24263344,0.178652008,0.453119092
SRR24263345,0.611031927,-0.217755695
SRR24263346,0.458199551,-0.212699179
SRR24263347,-0.355178666,-0.088750809
SRR24263349,-0.142628556,-0.064323813
SRR24263350,-0.221608993,-0.17667957
SRR24263351,0.460500632,-0.214953809
SRR24263352,0.357681441,-0.233949635
SRR24263353,-0.222004602,-0.177182338
SRR24263361,0.209298311,0.543933473
SRR24263362,0.208402056,0.504875455
SRR24263363,0.206669814,0.507389895
SRR24263364,0.195878859,0.491455413
SRR24263365,0.206383593,0.507353473
SRR24263366,0.206842632,0.505884917
SRR24263369,0.373296689,-0.232753595
SRR24263371,-0.211196977,0.114315277
SRR24263372,-0.183140787,0.187997823
SRR24263373,-0.313831075,0.026457244
SRR24263374,0.611589874,-0.179162096
SRR24263375,-0.24540774,0.029384493
SRR24263376,-0.193995744,0.088320586
SRR24263377,-0.141044409,0.169389291
SRR24263378,-0.216691293,0.069087119
SRR24263379,0.086150447,-0.272024569
SRR24263380,0.306037618,-0.241868751
SRR24263381,-0.247816554,-0.16122388
SRR24263383,-0.149968773,-0.216980004
SRR24263384,-0.089734273,-0.236774799
SRR24263385,-0.250411385,-0.159105488
SRR24263386,0.385046291,-0.209612026
SRR24263387,0.160668213,0.561166065
SRR24263388,-0.158346839,0.12153646
SRR24263389,-0.042884024,0.20101768
SRR24263390,-0.038339793,0.340448198
SRR24263391,-0.07023628,0.19445622
SRR24263394,0.012915741,-0.140315053
SRR24263395,0.120301505,0.402778623
SRR24263396,-0.035184229,0.317534695
SRR24263397,0.103360585,0.326610297
SRR24263398,-0.06705116,0.21698277
SRR24263399,-0.373293462,-0.071037169
SRR24263400,-0.066017948,-0.022806415
SRR24263401,0.188738701,0.463928726
SRR24263402,-0.323100454,-0.106408048
SRR24263403,0.195861189,0.161759731
SRR24263404,0.0491679,0.413605075
SRR24263405,0.037812311,0.313569842
SRR24263406,-0.064024762,0.191900285
SRR24263407,-0.374079078,-0.078396468
SRR24263408,-0.373810681,-0.077693384
SRR24263409,0.0983555,0.257476249
SRR24263410,-0.366503037,-0.052878665
SRR24263411,-0.374609358,-0.079335457
SRR24263412,0.475211098,-0.214499232
SRR24263413,-0.374611461,-0.07948749
SRR24263414,-0.249831415,0.066189225
SRR24263415,-0.096749914,0.284144024
SRR24263416,-0.337487172,-0.100798727
SRR24263417,-0.257002511,-0.154996677
DRR182916,0.083089968,0.010286143
DRR182917,0.121724341,0.001784646
DRR182918,-0.124160937,-0.117880804
DRR182920,-0.179317752,0.164043795
DRR182921,-0.042977984,0.001539952
DRR182922,-0.052338112,0.024881793
DRR182923,-0.058191344,-0.050169229
DRR182924,-0.062761226,-0.047378028
DRR182926,-0.196705909,0.190770686
DRR182927,0.278563249,-0.036272526
DRR182928,0.311154096,-0.030399755
DRR182929,0.026174797,0.015040876
DRR182931,-0.203450513,0.231932302
DRR182932,-0.080729546,0.073744815
DRR182933,-0.049493129,-0.022704669
DRR182934,-0.047543943,-0.008332487
DRR182935,-0.22000529,-0.349524747
