index,d__Bacteria,Unassigned,d__Archaea,d__Eukaryota,Insect Order
SRR5463087,3467,0,0,0,Coleoptera
SRR5463088,2477,0,0,0,Coleoptera
SRR5463089,4377,0,0,0,Coleoptera
SRR5463090,3727,0,0,0,Coleoptera
SRR13743296,17522,0,0,0,Diptera
SRR13743297,12463,0,0,0,Diptera
SRR13743298,14905,0,0,0,Diptera
SRR13743299,9229,0,0,0,Diptera
SRR13743300,18125,0,0,0,Diptera
SRR13743301,5530,0,7,0,Diptera
SRR13743302,11292,0,21,0,Diptera
SRR13743303,7676,0,0,0,Diptera
SRR13743304,12132,26,0,0,Diptera
SRR13743305,7592,0,0,0,Diptera
SRR13743306,13393,0,0,0,Diptera
SRR13743307,2903,0,0,0,Diptera
SRR13743308,3465,0,0,0,Diptera
SRR13743309,8317,0,0,0,Diptera
SRR13743310,12236,0,0,0,Diptera
SRR13743311,10354,0,0,0,Diptera
SRR13743312,2804,0,0,0,Diptera
SRR13743313,5110,0,0,0,Diptera
SRR13743314,5761,0,0,0,Diptera
SRR13743315,5406,0,0,0,Diptera
SRR13743316,12897,61,0,0,Diptera
SRR13743317,11455,0,0,0,Diptera
SRR13743318,14001,7,0,0,Diptera
SRR13847058,46202,0,0,0,Diptera
SRR13847059,33751,0,0,0,Diptera
SRR13847060,47842,0,0,0,Diptera
SRR13847061,45275,0,0,0,Diptera
SRR13847062,32254,0,0,0,Diptera
SRR13847064,62424,0,0,0,Diptera
SRR13847065,65003,0,0,0,Diptera
SRR13847066,87574,0,0,0,Diptera
SRR13847067,68731,0,0,0,Diptera
SRR13847068,71263,0,0,0,Diptera
SRR13847069,76323,0,0,0,Diptera
SRR13847070,58532,0,0,0,Diptera
SRR13847071,63098,0,0,0,Diptera
SRR13847072,30673,0,0,0,Diptera
SRR13847073,59985,0,0,0,Diptera
SRR13847075,52412,0,0,0,Diptera
SRR13847076,68129,0,0,0,Diptera
SRR13847077,59250,0,0,0,Diptera
SRR13847078,67242,0,0,0,Diptera
SRR13847079,64172,0,0,0,Diptera
SRR13847080,67751,0,0,0,Diptera
SRR13847081,59098,0,0,0,Diptera
SRR13847082,51978,39,0,0,Diptera
SRR13847083,59962,42,0,0,Diptera
SRR13847084,60014,22,0,0,Diptera
SRR13847086,31831,0,0,0,Diptera
SRR13847087,67951,0,0,0,Diptera
SRR13847088,57581,0,0,11,Diptera
SRR13847089,54272,0,0,0,Diptera
SRR13847090,62766,0,0,0,Diptera
SRR13847091,56597,0,0,0,Diptera
SRR13847092,56903,0,0,0,Diptera
SRR13847093,48215,0,0,0,Diptera
SRR13847094,50428,0,0,0,Diptera
SRR13847095,51393,0,0,0,Diptera
